id,X,Y
"1",423603.014,566839.151
"2",423700.718,566804.556
"3",425127.171,566448.409
"4",425502.693,566752.425
"5",425966.591,566496.174
"6",426125.440,565951.860
"7",425840.882,566163.575
"8",425450.593,566243.061
"9",425073.686,565867.555
"10",424806.614,565565.646
"11",424896.880,565496.420
"12",424618.782,565242.880
"13",424737.353,565158.399
"14",425234.641,565303.361
"15",425191.500,565453.828
"16",424567.637,564357.231
"17",424767.627,564028.685
"18",424932.151,563914.726
"19",425184.081,564261.251
"20",424649.161,563395.285
"21",423488.772,563087.029
"22",423773.150,563233.061
"23",423857.960,562941.536
"24",423606.205,565297.510
"25",423829.850,565221.082
"26",424237.566,563668.580
"27",424264.576,563436.539
"28",425956.443,564692.632
"29",425671.860,564541.712
"30",425363.727,564279.099
"31",425718.935,564231.038
"32",425044.020,564637.248
"33",424770.876,564656.066
"34",424480.435,564175.189
